Custom	#fd0014
H	#f6f6f6
He	#d9ffff
Li	#cc80ff
Be	#c2ff00
B	#ffb5b5
C	#666666
N	#0c0cff
O	#ff0c0c
F	#80b3ff
Ne	#b3e3f5
Na	#ab5cf3
Mg	#8aff00
Al	#bfa6a6
Si	#809999
P	#ff8000
S	#b3b300
Cl	#1ef01e
Ar	#80d1e3
K	#8f40d4
Ca	#3dff00
Sc	#e6e6e6
Ti	#bfc2c7
V	#a6a6ab
Cr	#8a99c7
Mn	#9c7ac7
Fe	#e16633
Co	#f08fa1
Ni	#4fd14f
Cu	#c78033
Zn	#7d80b0
Ga	#c28f8f
Ge	#668f8f
As	#bd80e3
Se	#ffa100
Br	#a62828
Kr	#5cb8d1
Rb	#702eb0
Sr	#00ff00
Y	#94ffff
Zr	#94e1e1
Nb	#73c2ca
Mo	#54b5b5
Tc	#3a9e9e
Ru	#238f8f
Rh	#0a7d8c
Pd	#006885
Ag	#e1e1ff
Cd	#ffd98f
In	#a67573
Sn	#668080
Sb	#9e63b5
Te	#d47a00
I	#940094
Xe	#429eb0
Cs	#57178f
Ba	#00ca00
La	#70d4ff
Ce	#ffffc7
Pr	#d9ffc7
Nd	#c7ffc7
Pm	#a3ffc7
Sm	#8fffc7
Eu	#61ffc7
Gd	#45ffc7
Tb	#30ffc7
Dy	#1effc7
Ho	#00ff9c
Er	#00e675
Tm	#00d451
Yb	#00bf38
Lu	#00ab23
Hf	#4cc2ff
Ta	#4ca6ff
W	#2194d7
Re	#267dab
Os	#266697
Ir	#175487
Pt	#f5eed1
Au	#ccd11e
Hg	#b5b5c2
Tl	#a6544c
Pb	#575961
Bi	#9e4fb5
Po	#ab5c00
At	#754f45
Rn	#428297
Fr	#420066
Ra	#007d00
Ac	#70abfa
Th	#00baff
Pa	#00a1ff
U	#008fff
Np	#0080ff
Pu	#006bff
Am	#545cf3
Cm	#785ce3
Bk	#8a4fe3
Cf	#a135d4
Es	#b31ed4
Fm	#b31eba
Md	#b30ca6
No	#bd0c87
Lr	#c70066
Rf	#cc0059
Db	#d1004f
Sg	#d90045
Bh	#e10038
Hs	#e6002e
Mt	#eb0026
