Custom	#A1C510
H	#52010F
He	#D11F69
Li	#A39C63
Be	#4014D5
B	#C6DB44
C	#6E9F6A
N	#BC4D44
O	#50BA9E
F	#6D6F69
Ne	#97CE9F
Na	#5D70FA
Mg	#C413DB
Al	#BBDB1B
Si	#5AE2E1
P	#666626
S	#BD5298
Cl	#15D182
Ar	#6DBD71
K	#E8DDF6
Ca	#D39DB2
Sc	#190854
Ti	#E9DB30
V	#B3C566
Cr	#62A6C4
Mn	#950E62
Fe	#B61092
Co	#34E672
Ni	#6FF85E
Cu	#0D612E
Zn	#2B572E
Ga	#E1A971
Ge	#BCE5E4
As	#8F2A14
Se	#2A2F05
Br	#C754F6
Kr	#85582D
Rb	#9E0D20
Sr	#B07D30
Y	#E10663
Zr	#9C3A60
Nb	#2E5E53
Mo	#718E22
Tc	#911ED2
Ru	#5A8E39
Rh	#D16B6C
Pd	#C3CB1C
Ag	#7EA2B1
Cd	#A3D8CD
In	#F42F3D
Sn	#33DA3C
Sb	#2DF957
Te	#E2C9AF
I	#C1D173
Xe	#014D0D
Cs	#35BF4C
Ba	#68C680
La	#04458C
Ce	#F95A57
Pr	#157CE4
Nd	#EACDB6
Pm	#CFB37A
Sm	#30F017
Eu	#5AFF68
Gd	#4A93CE
Tb	#D1ED0D
Dy	#5C5D89
Ho	#73EA9D
Er	#75B4C7
Tm	#E221C7
Yb	#9AC7EF
Lu	#DD2245
Hf	#9984BF
Ta	#DA7B9F
W	#49FC4D
Re	#074A81
Os	#299817
Ir	#4845F3
Pt	#264DE3
Au	#41A576
Hg	#8A751F
Tl	#4D9F9A
Pb	#49E561
Bi	#8BBF34
Po	#BBC18A
At	#F2AFB5
Rn	#F491E6
Fr	#A4D024
Ra	#8DEADA
Ac	#F10B1B
Th	#876048
Pa	#8D312A
U	#7EE14F
Np	#5E1047
Pu	#5C6025
Am	#0E56A6
Cm	#0A3BC4
Bk	#9AA68F
Cf	#4CBD22
Es	#95BFD4
Fm	#24FDC4
Md	#23C013
No	#54B474
Lr	#A3B967
Rf	#4490C1
Db	#36C51C
Sg	#BDB196
Bh	#572AD1
Hs	#391B2D
Mt	#0F0DB0
