---------- Counts of Element Bi ----------
row	column	line1	line2	ratio
0	0	46	0	inf
0	2	35	0	inf
0	3	33	0	inf
0	5	35	0	inf
0	7	49	0	inf
0	9	29	0	inf
0	11	32	0	inf
0	13	33	0	inf
0	15	45	0	inf
0	17	30	0	inf
0	20	29	27	1.094585
0	21	40	0	inf
1	1	31	0	inf
1	4	40	0	inf
1	6	29	0	inf
1	7	39	0	inf
1	11	33	32	1.029948
1	14	42	0	inf
1	16	40	0	inf
1	17	34	26	1.305576
2	1	38	0	inf
2	3	38	22	1.743794
2	10	36	0	inf
2	20	34	0	inf
2	21	34	0	inf
3	0	37	0	inf
3	1	31	0	inf
3	2	35	0	inf
3	4	49	0	inf
3	5	28	0	inf
3	7	32	0	inf
3	14	27	0	inf
3	15	46	0	inf
3	16	44	0	inf
4	0	46	0	inf
4	4	37	0	inf
4	5	35	0	inf
4	9	37	0	inf
4	15	49	0	inf
4	17	34	0	inf
4	19	42	23	1.817434
4	20	29	0	inf
4	21	38	0	inf
5	0	28	0	inf
5	10	32	31	1.041766
5	13	36	0	inf
5	14	34	0	inf
5	15	38	0	inf
5	17	35	23	1.509666
5	19	40	0	inf
5	20	30	0	inf
6	0	25	23	1.067007
6	2	35	0	inf
6	3	31	0	inf
6	7	38	0	inf
6	10	43	0	inf
6	11	34	0	inf
6	17	30	0	inf
6	18	27	0	inf
6	19	47	44	1.067807
6	20	39	0	inf
7	1	31	0	inf
7	2	39	0	inf
7	9	39	0	inf
7	10	34	0	inf
7	17	34	0	inf
7	18	40	0	inf
8	4	25	0	inf
8	8	34	0	inf
8	9	44	31	1.407407
8	11	40	0	inf
8	17	53	0	inf
8	20	32	0	inf
8	21	37	18	2.035494
9	0	30	0	inf
9	3	30	0	inf
9	4	35	36	0.963503
9	16	24	0	inf
9	17	37	0	inf
9	18	48	0	inf
9	21	32	0	inf
10	0	33	29	1.137820
10	1	26	0	inf
10	2	23	0	inf
10	5	31	0	inf
10	6	25	0	inf
10	7	30	0	inf
10	11	35	0	inf
10	12	35	0	inf
10	13	40	0	inf
10	14	31	0	inf
10	15	40	0	inf
10	17	37	28	1.285251
10	18	32	28	1.135505
10	19	26	31	0.833740
10	20	27	0	inf
11	1	31	0	inf
11	4	33	0	inf
11	8	39	0	inf
11	9	30	0	inf
11	13	41	33	1.219171
11	14	27	25	1.097638
11	18	27	0	inf
11	20	39	0	inf
12	2	41	0	inf
12	4	31	0	inf
12	6	42	0	inf
12	8	38	0	inf
12	12	35	34	1.003497
12	13	34	0	inf
13	0	35	0	inf
13	1	41	0	inf
13	3	33	22	1.464317
13	4	32	32	0.991554
13	6	28	0	inf
13	7	40	0	inf
13	9	43	26	1.629744
13	12	32	0	inf
13	14	50	0	inf
13	18	33	0	inf
14	0	33	19	1.713359
14	1	30	0	inf
14	2	32	21	1.517673
14	9	38	31	1.197984
14	13	26	0	inf
14	15	34	0	inf
14	17	32	0	inf
14	19	36	0	inf
15	1	28	0	inf
15	2	30	0	inf
15	3	35	26	1.314338
15	4	27	0	inf
15	8	46	0	inf
15	12	31	0	inf
15	16	38	0	inf
15	20	33	0	inf
16	0	33	36	0.923536
16	2	26	20	1.302252
16	4	33	0	inf
16	5	37	27	1.372111
16	6	36	0	inf
16	9	34	0	inf
16	12	41	39	1.052957
16	14	35	0	inf
17	0	30	0	inf
17	1	30	28	1.080610
17	2	27	0	inf
17	4	24	0	inf
17	6	45	27	1.669347
17	7	21	0	inf
17	9	28	0	inf
17	11	31	0	inf
17	12	33	39	0.840836
17	17	38	0	inf
17	19	36	28	1.273982
17	21	38	29	1.314811
18	0	23	0	inf
18	1	40	0	inf
18	4	38	0	inf
18	5	37	0	inf
18	6	29	30	0.954830
18	9	31	0	inf
18	13	39	24	1.588411
18	19	31	0	inf
18	21	31	0	inf
19	5	34	0	inf
19	8	35	0	inf
19	9	29	0	inf
19	11	47	0	inf
19	13	46	0	inf
19	14	39	0	inf
19	15	36	0	inf
19	16	24	0	inf
19	18	34	0	inf
19	21	25	0	inf
20	1	24	0	inf
20	3	42	22	1.897516
20	9	24	0	inf
20	10	43	0	inf
20	13	34	43	0.788420
20	20	28	0	inf
21	5	35	0	inf
21	6	26	0	inf
21	9	37	0	inf
21	13	27	0	inf
21	14	31	0	inf
21	16	28	0	inf
21	17	37	38	0.990692
21	20	51	0	inf
22	1	33	29	1.134448
22	3	31	0	inf
22	6	27	0	inf
22	8	28	28	1.005440
22	11	29	0	inf
22	16	40	32	1.274562
22	18	41	0	inf
22	19	35	0	inf
23	0	42	0	inf
23	1	29	0	inf
23	3	27	0	inf
23	7	24	21	1.111729
23	10	41	27	1.525059
23	11	23	0	inf
23	12	35	0	inf
23	18	38	0	inf
23	19	33	0	inf
23	20	29	25	1.167907
23	21	47	0	inf
24	1	29	23	1.240633
24	3	24	0	inf
24	6	25	0	inf
24	7	18	0	inf
24	12	33	35	0.964288
24	13	27	0	inf
24	17	22	0	inf
25	0	49	20	2.481436
25	10	24	0	inf
25	11	26	0	inf
25	13	31	27	1.170523
25	18	41	0	inf
25	21	35	39	0.913202
