---------- Counts of Element Ca ----------
row	column	line1	line2	ratio
0	0	13	0	inf
0	1	11	0	inf
0	2	14	0	inf
0	3	9	0	inf
0	4	15	0	inf
0	5	16	0	inf
0	6	26	0	inf
0	7	14	0	inf
0	8	12	0	inf
0	9	13	0	inf
0	10	19	0	inf
0	11	19	0	inf
0	12	21	0	inf
0	13	15	0	inf
0	14	21	0	inf
0	15	21	0	inf
0	16	24	0	inf
0	17	10	0	inf
0	18	19	0	inf
0	19	13	0	inf
0	20	18	0	inf
0	21	17	0	inf
1	0	14	0	inf
1	1	12	0	inf
1	2	9	0	inf
1	3	12	0	inf
1	4	15	0	inf
1	5	26	0	inf
1	6	17	0	inf
1	7	16	0	inf
1	8	20	0	inf
1	9	24	0	inf
1	10	16	0	inf
1	11	12	0	inf
1	12	18	0	inf
1	13	18	0	inf
1	14	9	0	inf
1	15	15	0	inf
1	16	14	0	inf
1	17	16	0	inf
1	18	7	0	inf
1	19	13	0	inf
1	20	24	0	inf
1	21	13	0	inf
2	0	12	0	inf
2	1	7	0	inf
2	2	17	0	inf
2	3	13	0	inf
2	4	11	0	inf
2	5	29	0	inf
2	6	18	0	inf
2	7	19	0	inf
2	8	24	0	inf
2	9	22	0	inf
2	10	24	0	inf
2	11	22	0	inf
2	12	19	0	inf
2	13	22	0	inf
2	14	22	0	inf
2	15	12	0	inf
2	16	16	0	inf
2	17	17	0	inf
2	18	20	0	inf
2	19	18	0	inf
2	20	16	0	inf
2	21	13	0	inf
3	0	7	0	inf
3	1	19	0	inf
3	2	15	0	inf
3	3	10	0	inf
3	4	24	0	inf
3	5	10	0	inf
3	6	21	0	inf
3	7	20	0	inf
3	8	17	0	inf
3	9	24	0	inf
3	10	12	0	inf
3	11	12	0	inf
3	12	9	0	inf
3	13	26	0	inf
3	14	26	0	inf
3	15	17	0	inf
3	16	20	0	inf
3	17	22	0	inf
3	18	19	0	inf
3	19	18	0	inf
3	20	14	0	inf
3	21	16	0	inf
4	0	10	0	inf
4	1	11	0	inf
4	2	15	0	inf
4	3	18	0	inf
4	4	11	0	inf
4	5	19	0	inf
4	6	17	0	inf
4	7	17	0	inf
4	8	15	0	inf
4	9	18	0	inf
4	10	23	0	inf
4	11	19	0	inf
4	12	17	0	inf
4	13	18	0	inf
4	14	22	0	inf
4	15	13	0	inf
4	16	24	0	inf
4	17	17	0	inf
4	18	21	0	inf
4	19	16	0	inf
4	20	20	0	inf
4	21	12	0	inf
5	0	8	0	inf
5	1	8	0	inf
5	2	15	0	inf
5	3	10	0	inf
5	4	8	0	inf
5	5	16	0	inf
5	6	19	0	inf
5	7	22	0	inf
5	8	21	0	inf
5	9	24	0	inf
5	10	19	0	inf
5	11	20	0	inf
5	12	16	0	inf
5	13	13	0	inf
5	14	21	0	inf
5	15	14	0	inf
5	16	16	0	inf
5	17	12	0	inf
