---------- Counts of Element Pb ----------
row	column	line1	line2	ratio
0	0	47	39	1.183030
0	1	54	23	2.330966
0	2	40	31	1.303065
0	3	59	27	2.157721
0	4	40	38	1.038634
0	5	31	26	1.190856
0	6	64	29	2.171854
0	7	42	32	1.310274
0	8	59	25	2.294963
0	9	46	29	1.568879
0	10	48	33	1.452632
0	11	45	24	1.839395
0	12	35	26	1.347146
0	13	34	28	1.197300
0	14	51	27	1.912328
0	15	55	28	1.928746
0	16	61	30	1.994093
0	17	67	30	2.206980
0	18	57	35	1.641719
0	19	52	28	1.871812
0	20	56	29	1.898601
0	21	37	19	1.917290
1	0	40	37	1.077209
1	1	40	27	1.480850
1	2	34	30	1.149853
1	3	48	32	1.500839
1	4	58	44	1.305157
1	5	47	38	1.233374
1	6	43	38	1.142998
1	7	39	39	1.013933
1	8	75	49	1.540805
1	9	67	38	1.738908
1	10	52	27	1.930337
1	11	50	30	1.621013
1	12	32	27	1.198832
1	13	40	31	1.252349
1	14	49	28	1.746692
1	15	51	48	1.054656
1	16	53	30	1.745762
1	17	45	33	1.337588
1	18	38	35	1.091889
1	19	74	35	2.119136
1	20	52	22	2.359591
1	21	27	14	1.876256
2	0	58	26	2.200722
2	1	41	25	1.609675
2	2	33	38	0.883544
2	3	41	31	1.342155
2	4	50	30	1.655289
2	5	41	45	0.915996
2	6	57	23	2.499632
2	7	54	36	1.477413
2	8	64	19	3.220196
2	9	51	28	1.811327
2	10	36	30	1.215706
2	11	48	38	1.262853
2	12	45	29	1.540357
2	13	68	21	3.163806
2	14	61	22	2.654926
2	15	50	28	1.794114
2	16	49	36	1.354832
2	17	48	45	1.060659
2	18	48	32	1.502673
2	19	46	29	1.563657
2	20	30	44	0.694018
2	21	20	20	1.013415
3	0	31	34	0.911449
3	1	37	29	1.280494
3	2	49	34	1.420690
3	3	47	34	1.404480
3	4	45	34	1.315649
3	5	42	15	2.787749
3	6	52	35	1.455504
3	7	50	31	1.604047
3	8	38	24	1.583380
3	9	63	30	2.067051
3	10	39	27	1.435008
3	11	60	41	1.463367
3	12	48	25	1.882133
3	13	49	31	1.546974
3	14	45	28	1.591128
3	15	49	21	2.308014
3	16	48	27	1.796328
3	17	47	32	1.453559
3	18	57	29	1.913421
3	19	50	42	1.167366
3	20	47	23	1.982538
3	21	23	31	0.727368
4	0	38	25	1.514370
4	1	32	18	1.724578
4	2	48	25	1.879182
4	3	48	19	2.505286
4	4	41	24	1.697372
4	5	35	33	1.060908
4	6	43	28	1.511571
4	7	46	40	1.157588
4	8	50	39	1.291452
4	9	49	34	1.432391
4	10	53	34	1.568862
4	11	51	22	2.308700
4	12	52	48	1.079913
4	13	43	30	1.436619
4	14	49	30	1.619606
4	15	53	29	1.838352
4	16	45	19	2.328075
4	17	54	26	2.064887
4	18	60	33	1.799169
4	19	44	42	1.029357
4	20	38	30	1.256520
4	21	29	31	0.932580
5	0	26	28	0.927180
5	1	41	24	1.698238
5	2	49	23	2.143965
5	3	37	31	1.203646
5	4	44	32	1.370452
5	5	53	34	1.544595
5	6	47	28	1.638936
5	7	51	11	4.358981
5	8	50	30	1.659538
5	9	50	36	1.393299
5	10	60	41	1.459566
5	11	73	38	1.937411
5	12	60	45	1.330428
5	13	35	31	1.127029
5	14	46	40	1.144031
5	15	38	39	0.983946
5	16	58	30	1.895452
5	17	47	35	1.319736
5	18	42	27	1.535936
5	19	39	23	1.662491
