---------- Thickness Values (um) of PbWhite ----------
row	column	thickness
0	0	0.000000
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.000000
0	7	0.000000
0	8	0.000000
0	9	0.000000
0	10	0.000000
0	11	0.000000
0	12	0.000000
0	13	0.000000
0	14	0.000000
0	15	0.000000
0	16	0.000000
0	17	0.000000
0	18	0.000000
0	19	0.000000
0	20	0.000000
0	21	0.000000
0	22	0.000000
0	23	0.000000
0	24	0.000000
0	25	5.545998
0	26	3.867152
0	27	5.071487
0	28	7.740478
0	29	0.000000
0	30	5.578801
0	31	4.280611
0	32	4.654208
0	33	5.800075
0	34	5.947559
0	35	5.917005
0	36	4.297933
0	37	5.523897
0	38	4.385131
0	39	1.328984
0	40	5.257784
0	41	5.002803
0	42	4.308585
0	43	4.417922
0	44	4.000386
0	45	0.000000
0	46	7.054329
0	47	3.394893
0	48	4.188191
0	49	0.000000
0	50	0.000000
0	51	0.000000
0	52	0.000000
0	53	31.564319
0	54	0.000000
0	55	0.000000
0	56	0.000000
0	57	0.000000
0	58	0.000000
0	59	0.000000
0	60	0.000000
0	61	0.000000
0	62	0.000000
0	63	0.000000
0	64	0.000000
0	65	0.000000
0	66	0.000000
0	67	0.000000
0	68	0.000000
0	69	0.000000
0	70	0.000000
0	71	0.000000
0	72	0.000000
0	73	0.000000
0	74	0.000000
0	75	0.000000
0	76	0.000000
1	0	0.000000
1	1	0.000000
1	2	0.000000
1	3	0.000000
1	4	0.000000
1	5	0.000000
1	6	0.000000
1	7	0.000000
1	8	0.000000
1	9	0.000000
1	10	0.000000
1	11	0.000000
1	12	0.000000
1	13	0.000000
1	14	0.000000
1	15	0.000000
1	16	0.000000
1	17	0.000000
1	18	0.000000
1	19	0.000000
1	20	0.000000
1	21	0.000000
1	22	0.340441
1	23	0.000000
1	24	4.219647
1	25	2.086328
1	26	4.138974
1	27	3.432115
1	28	5.307567
1	29	5.084007
1	30	6.897341
1	31	4.579049
1	32	4.749580
