---------- Counts of Element Cu ----------
row	column	line1	line2	ratio
0	0	0	0	0.000000
0	1	0	0	0.000000
0	2	57	51	1.117144
0	3	60	0	0.000000
0	4	0	0	0.000000
0	5	83	58	1.431551
0	6	66	0	0.000000
0	7	89	0	0.000000
0	8	68	0	0.000000
0	9	0	0	0.000000
0	10	0	0	0.000000
0	11	42	0	0.000000
0	12	0	0	0.000000
0	13	0	0	0.000000
0	14	0	0	0.000000
0	15	16	0	0.000000
0	16	0	0	0.000000
0	17	20	0	0.000000
0	18	0	0	0.000000
0	19	32	0	0.000000
0	20	0	0	0.000000
0	21	34	0	0.000000
0	22	182	29	6.101465
0	23	610	85	7.142261
0	24	1100	180	6.111422
0	25	1494	262	5.686541
0	26	1835	298	6.143014
0	27	1993	342	5.824288
0	28	2130	413	5.154477
0	29	2157	398	5.418343
0	30	2454	431	5.690864
0	31	2429	402	6.033007
0	32	2370	399	5.933672
0	33	2170	385	5.627270
0	34	2161	386	5.596256
0	35	2321	414	5.607822
0	36	2415	400	6.033614
0	37	2620	459	5.695778
0	38	2682	446	6.005685
0	39	2808	406	6.907048
0	40	2785	482	5.773514
0	41	2806	480	5.840066
0	42	2794	463	6.026177
0	43	2708	451	6.000968
0	44	2595	424	6.109096
0	45	2461	414	5.940655
0	46	2331	438	5.321228
0	47	2196	349	6.291989
0	48	1966	324	6.050561
0	49	1594	263	6.048215
0	50	1094	194	5.626744
0	51	647	118	5.478186
0	52	273	64	4.216829
0	53	104	60	1.739904
0	54	76	0	0.000000
0	55	0	0	0.000000
0	56	64	0	0.000000
0	57	0	0	0.000000
0	58	0	0	0.000000
0	59	0	0	0.000000
0	60	0	0	0.000000
0	61	0	0	0.000000
0	62	68	0	0.000000
0	63	89	0	0.000000
0	64	65	0	0.000000
0	65	0	0	0.000000
0	66	0	0	0.000000
0	67	0	0	0.000000
0	68	59	0	0.000000
0	69	79	0	0.000000
0	70	0	0	0.000000
0	71	75	0	0.000000
0	72	0	0	0.000000
0	73	0	0	0.000000
0	74	0	0	0.000000
0	75	93	0	0.000000
0	76	65	0	0.000000
1	0	80	0	0.000000
1	1	0	0	0.000000
1	2	74	0	0.000000
1	3	78	0	0.000000
1	4	80	0	0.000000
1	5	0	0	0.000000
1	6	59	0	0.000000
1	7	65	45	1.442084
1	8	57	0	0.000000
1	9	61	0	0.000000
1	10	0	0	0.000000
1	11	50	0	0.000000
1	12	0	0	0.000000
1	13	0	0	0.000000
1	14	0	0	0.000000
1	15	14	0	0.000000
1	16	13	0	0.000000
1	17	30	0	0.000000
1	18	22	0	0.000000
1	19	27	19	1.402769
1	20	120	32	3.750840
1	21	617	98	6.279170
1	22	1194	165	7.236958
1	23	1708	259	6.593009
1	24	2048	338	6.045242
1	25	2552	382	6.670685
1	26	2609	429	6.080365
1	27	2588	412	6.274231
1	28	2231	387	5.764854
1	29	2219	381	5.811267
1	30	2187	408	5.354468
1	31	2253	378	5.957535
1	32	2200	372	5.907171
1	33	2131	363	5.869689
1	34	2179	362	6.016090
1	35	2097	337	6.212423
1	36	2278	387	5.878307
1	37	2310	384	6.011541
1	38	2559	434	5.894157
1	39	2708	414	6.530084
1	40	2749	444	6.188288
1	41	2666	387	6.886772
1	42	2625	408	6.419307
1	43	2617	432	6.055316
