---------- Counts of Element Pb ----------
row	column	line1	line2	ratio
0	0	0	0	0.000000
0	1	0	0	0.000000
0	2	0	0	0.000000
0	3	26	0	0.000000
0	4	0	0	0.000000
0	5	15	0	0.000000
0	6	18	16	1.141950
0	7	21	0	0.000000
0	8	0	0	0.000000
0	9	0	0	0.000000
0	10	0	0	0.000000
0	11	0	0	0.000000
0	12	0	0	0.000000
0	13	0	0	0.000000
0	14	0	0	0.000000
0	15	0	0	0.000000
0	16	0	0	0.000000
0	17	0	0	0.000000
0	18	0	0	0.000000
0	19	0	0	0.000000
0	20	7	0	0.000000
0	21	0	0	0.000000
0	22	0	0	0.000000
0	23	0	0	0.000000
0	24	8	0	0.000000
0	25	15	11	1.333333
0	26	32	22	1.434725
0	27	73	39	1.849514
0	28	65	55	1.172430
0	29	0	0	0.000000
0	30	78	49	1.579877
0	31	89	44	2.000682
0	32	84	58	1.437827
0	33	108	72	1.494194
0	34	118	64	1.829349
0	35	75	74	1.014969
0	36	96	48	1.978952
0	37	66	54	1.210806
0	38	51	42	1.208416
0	39	65	42	1.536458
0	40	48	34	1.399895
0	41	66	38	1.717969
0	42	47	47	0.999879
0	43	53	47	1.125040
0	44	48	56	0.859988
0	45	73	0	0.000000
0	46	62	34	1.783884
0	47	45	29	1.565874
0	48	48	33	1.435368
0	49	0	0	0.000000
0	50	31	0	0.000000
0	51	23	0	0.000000
0	52	0	0	0.000000
0	53	31	13	2.297654
0	54	0	0	0.000000
0	55	0	0	0.000000
0	56	0	0	0.000000
0	57	18	11	1.514411
0	58	0	0	0.000000
0	59	0	0	0.000000
0	60	15	0	0.000000
0	61	0	0	0.000000
0	62	12	0	0.000000
0	63	27	20	1.311844
0	64	35	0	0.000000
0	65	0	0	0.000000
0	66	0	0	0.000000
0	67	0	0	0.000000
0	68	0	0	0.000000
0	69	26	18	1.445060
0	70	27	12	2.168543
0	71	27	0	0.000000
0	72	30	0	0.000000
0	73	0	0	0.000000
0	74	0	0	0.000000
0	75	32	23	1.337446
0	76	0	0	0.000000
1	0	0	0	0.000000
1	1	0	0	0.000000
1	2	0	0	0.000000
1	3	15	0	0.000000
1	4	26	18	1.375404
1	5	0	0	0.000000
1	6	24	0	0.000000
1	7	0	0	0.000000
1	8	0	0	0.000000
1	9	19	8	2.260194
1	10	0	0	0.000000
1	11	10	0	0.000000
1	12	0	0	0.000000
1	13	0	0	0.000000
1	14	0	0	0.000000
1	15	0	0	0.000000
1	16	0	0	0.000000
1	17	0	0	0.000000
1	18	0	0	0.000000
1	19	9	0	0.000000
1	20	0	0	0.000000
1	21	0	0	0.000000
1	22	8	9	0.800008
1	23	0	0	0.000000
1	24	27	20	1.333331
1	25	43	25	1.692155
1	26	44	34	1.282394
1	27	85	57	1.479352
1	28	111	96	1.146735
1	29	95	76	1.249890
1	30	113	78	1.437924
1	31	136	69	1.959140
1	32	121	89	1.355454
1	33	108	78	1.384339
1	34	97	68	1.412318
1	35	127	88	1.440289
1	36	129	96	1.338438
1	37	118	71	1.650536
1	38	92	47	1.936939
1	39	62	38	1.615385
1	40	66	39	1.675229
1	41	50	52	0.962159
1	42	77	52	1.467937
1	43	68	41	1.641412
1	44	63	55	1.142858
1	45	83	38	2.164905
1	46	70	50	1.388191
